,matches_played,wins,win_rate_pct
Mumbai Indians,203,120,59.11330049261084
Chennai Super Kings,178,106,59.55056179775281
Kolkata Knight Riders,192,99,51.5625
Royal Challengers Bangalore,195,91,46.666666666666664
Kings XI Punjab,190,88,46.31578947368421
Rajasthan Royals,161,81,50.31055900621118
Delhi Daredevils,161,67,41.61490683229814
Sunrisers Hyderabad,124,66,53.2258064516129
Deccan Chargers,75,29,38.666666666666664
Delhi Capitals,33,19,57.57575757575758
Gujarat Lions,30,13,43.333333333333336
Pune Warriors,46,12,26.08695652173913
Rising Pune Supergiant,16,10,62.5
Kochi Tuskers Kerala,14,6,42.857142857142854
Rising Pune Supergiants,14,5,35.714285714285715
