batsman,runs,balls,strike_rate
V Kohli,5878,4609,127.53308743762204
SK Raina,5368,4041,132.83840633506557
DA Warner,5254,3819,137.57528148730034
RG Sharma,5230,4088,127.93542074363992
S Dhawan,5197,4208,123.50285171102662
AB de Villiers,4849,3264,148.56004901960785
CH Gayle,4772,3342,142.78874925194492
MS Dhoni,4632,3493,132.60807328943602
RV Uthappa,4607,3658,125.94313832695462
G Gambhir,4217,3524,119.66515323496027
AM Rahane,3933,3325,118.28571428571428
SR Watson,3874,2888,134.14127423822714
KD Karthik,3823,3023,126.46377770426729
AT Rayudu,3659,2970,123.19865319865319
MK Pandey,3268,2772,117.8932178932179
YK Pathan,3204,2330,137.5107296137339
KA Pollard,3023,2107,143.47413383958235
BB McCullum,2880,2267,127.0401411557124
PA Patel,2848,2442,116.62571662571663
Yuvraj Singh,2750,2205,124.71655328798185
